:0000 TENDA VILLAGE
0086 01a8 0070
008a 02b0 0070
#0302 0098 0188
#0302 00a0 0188

:000c ONETT
0211 0448 0130

0393 04e8 01c8
0390 0428 01d0

0396 0588 01f0
0416 05a8 0220
0416 05b8 0220

04aa 0aa8 0260
04aa 0ab8 0260
04ab 0ac8 0260
04ab 0ad8 0260
04ab 0ae8 0260
04ab 0af8 0260

009c 0728 0078
02a5 0958 0158
02a9 0a58 0150

0416 05a8 0238
051f 07e0 0290
0712 0490 03a0
06a1 0850 0360
0816 0590 0420
0899 0640 0468
089b 06c8 0468
08a4 0908 0458
08a5 0968 0458
09aa 0a88 04f8
0a0f 03f8 0508
0a13 04d0 0500
0a91 0448 0558
0b90 0428 05d8
0a19 0678 0530
0b1f 07f8 0588
0aa2 08b8 0568
0b21 0858 0588
0aa8 0a08 0578
0d11 0478 0690
0d96 05a0 06c8
0d98 0628 06c8
0d1f 07e0 06a8
0d9d 0740 06c8
0c26 0988 0638
0d24 0908 06b8

0d18 0628 0690
0d18 0638 0690

1198 0628 08d8
1913 04c0 0c80
1913 04d0 0c80

0d87 01c8 06d8

:0030 ELECTRO SPECTER SANCTUARY BOSS CAVE
!)0131 0c58 0088
!)0131 0c60 0088
(0138 0e38 00a8
(0139 0e40 00a8
(013c 0f08 0088
(013c 0f10 0088

0331 0c58 0188
0331 0c60 0188
0434 0d18 0208
0434 0d20 0208

04b1 0c68 0268
04b1 0c70 0268
05b4 0d38 02e8
05b5 0d40 02e8
043c 0f18 0228
043c 0f20 0228
0739 0e78 03a8
073a 0e80 03a8
073e 0fb0 0390

06b1 0c68 0348
06b1 0c70 0348

:0040 INSIDE BRICKROAD ENTRY LEVEL
0044 1138 0008
0046 1198 0008
0045 1168 0010
0047 11c8 0010
00ca 1288 0048
0541 1048 02a8
0747 11d0 0390

:004c CAVE WITH SANCTUARY BOSS AND BUBBLE MONKEY ROPE
(01cc 1328 00e0
)0150 1410 00a0

0353 14d0 01a0

:0054 SMALL SECTION WITH APPLE KID AND PHASE DISTORTERS
.015e 17b0 0088

:0060 SHORT HIGHWAY TUNNEL
00e0 1830 0040
00e0 1828 0048
00e0 1820 0050
00e0 1818 0058
00e0 1810 0060
00e0 1808 0068
00eb 1ac8 0040
00eb 1ad0 0048
00eb 1ad8 0050
00eb 1ae0 0058
00eb 1ae8 0060
